lr,Batch size,Dropout odds,Hidden size,Epoch,Acc@1,Acc@5,Acc@10,Acc@20,test_loss,training_loss,duration,,,,
0.001,512,0,500,5,0.151901517,0.469070125,0.594328424,0.718047923,3.953596746,4.717712925,124,,,,
0.001,512,0,1000,1,0.123279842,0.433062211,0.543020444,0.681072763,4.341464117,5.282415658,148,,,,
0.001,512,0,1000,2,0.147417015,0.441943284,0.565706749,0.691888327,4.228735511,5.178388746,148,,,,
0.001,512,0,1000,3,0.148296329,0.441415696,0.578544735,0.70107716,4.135202673,4.978978642,149,,,,
0.001,512,0,1000,4,0.155814465,0.441239833,0.580083535,0.707188393,4.054066695,4.782025343,151,,,,
0.001,512,0,1000,5,0.15955155,0.452714882,0.583073203,0.714047043,3.99559474,4.792142876,154,,,,
0.001,512,0,1500,1,0.121653111,0.425763904,0.537436799,0.682523632,4.348912387,5.283089549,201,,,,
0.001,512,0,1500,2,0.153352385,0.454341614,0.57357661,0.706177182,4.098722161,5.081769841,195,,,,
0.001,512,0,1500,3,0.184392174,0.455616619,0.588261156,0.72442295,3.929011212,4.816880451,190,,,,
0.001,512,0,1500,4,0.195207738,0.460716641,0.59375687,0.725610024,3.8134361,4.522469014,190,,,,
0.001,512,0,1500,5,0.195999121,0.460584744,0.596614641,0.734930754,3.755960798,4.299033259,191,,,,
0.001,512,0.25,500,1,0.122356562,0.424488899,0.535414377,0.67496153,4.375349511,5.282762268,125,,,,
0.001,512,0.25,500,2,0.166014509,0.45007694,0.56610244,0.700021983,4.121908177,5.112588001,125,,,,
0.001,512,0.25,500,3,0.167905034,0.460716641,0.588920642,0.714574632,4.01922769,4.846792521,125,,,,
0.001,512,0.25,500,4,0.174763684,0.458694219,0.592042207,0.731017806,3.890027587,4.608153748,124,,,,
0.001,512,0.25,500,5,0.188920642,0.452670917,0.586722357,0.718663443,3.985590135,4.403993856,125,,,,
0.001,512,0.25,1000,1,0.125082436,0.43266652,0.537656628,0.68151242,4.380824576,5.281681353,151,,,,
0.001,512,0.25,1000,2,0.082259837,0.413101781,0.543811827,0.683534843,4.380125215,5.234589028,150,,,,
0.001,512,0.25,1000,3,0.131501429,0.437238954,0.554979116,0.677379644,4.322396692,5.217317096,151,,,,
0.001,512,0.25,1000,4,0.135502308,0.446427786,0.563464498,0.69298747,4.25913335,5.146169266,150,,,,
0.001,512,0.25,1000,5,0.132424709,0.445064849,0.558144647,0.689030556,4.315164185,5.082940943,151,,,,
0.001,512,0.25,1500,1,0.120026379,0.422994065,0.535238514,0.673510662,4.441800107,5.280398966,193,,,,
0.001,512,0.25,1500,2,0.149879094,0.437194988,0.565970543,0.694262475,4.1717572,5.224487013,192,,,,
0.001,512,0.25,1500,3,0.148472192,0.448933832,0.575686964,0.706309079,4.043840361,4.973453937,192,,,,
0.001,512,0.25,1500,4,0.13189712,0.391558584,0.50015388,0.628841504,4.349449306,4.747296649,194,,,,
0.001,512,0.25,1500,5,0.172389536,0.445196747,0.581490437,0.719850517,3.931777064,4.581049991,197,,,,
0.001,512,0.5,500,1,0.125390196,0.420224225,0.540954056,0.679929655,4.354890898,5.302049803,135,,,,
0.001,512,0.5,500,2,0.161222247,0.452451088,0.571422291,0.706792702,4.084079801,5.166229899,136,,,,
0.001,512,0.5,500,3,0.17419213,0.46093647,0.590283579,0.725170367,3.988563368,4.898319212,123,,,,
0.001,512,0.5,500,4,0.181886129,0.462211475,0.597493955,0.732556606,3.853069025,4.65664409,123,,,,
0.001,512,0.5,500,5,0.188568916,0.45970543,0.593229281,0.728819521,3.782747862,4.406209313,123,,,,
0.001,512,0.5,1000,1,0.12380743,0.427082875,0.538931633,0.669509782,4.35535344,5.276386743,148,,,,
0.001,512,0.5,1000,2,0.135326445,0.438733788,0.559067927,0.693031435,4.408116807,5.21478073,148,,,,
0.001,512,0.5,1000,3,0.142492856,0.438513959,0.571598153,0.706221148,4.122206434,5.052207039,148,,,,
0.001,512,0.5,1000,4,0.141745439,0.438162233,0.572521433,0.71101341,4.102308586,4.906333666,148,,,,
0.001,512,0.5,1000,5,0.150406683,0.444713124,0.574280062,0.709958233,4.03620535,4.783363873,147,,,,
0.001,512,0.5,1500,1,0.122488459,0.424840624,0.537568696,0.672059793,4.412072076,5.281050237,189,,,,
0.001,512,0.5,1500,2,0.124862607,0.425588041,0.538008353,0.677643438,4.406405936,5.241268078,191,,,,
0.001,512,0.5,1500,3,0.122400528,0.428885469,0.543416135,0.681908112,4.368598843,5.238692455,189,,,,
0.001,512,0.5,1500,4,0.136953177,0.434732908,0.55924379,0.693515058,4.301541562,5.181903515,188,,,,
0.001,512,0.5,1500,5,0.125917784,0.435480325,0.562277424,0.693119367,4.18680244,5.101455279,189,,,,
0.001,1024,0,500,1,0.120026379,0.425104419,0.53620576,0.678214992,4.38235117,5.311095147,119,,,,
0.001,1024,0,500,2,0.123851396,0.425104419,0.532292812,0.673642559,4.359027738,5.252319411,120,,,,
0.001,1024,0,500,3,0.120026379,0.425104419,0.543020444,0.675840844,4.340918271,5.245990673,119,,,,
0.001,1024,0,500,4,0.121037591,0.425104419,0.539854913,0.680193449,4.347433837,5.235301602,118,,,,
0.001,1024,0,500,5,0.128555727,0.432578589,0.553528248,0.688415036,4.322525315,5.21554604,119,,,,
0.001,1024,0,1000,1,0.119586722,0.427698395,0.547812706,0.677071884,4.360574847,5.295511208,147,,,,
0.001,1024,0,1000,2,0.119586722,0.427698395,0.535458342,0.678610684,4.366971866,5.242257622,147,,,,
0.001,1024,0,1000,3,0.13528248,0.427258738,0.551549791,0.684765883,4.363413811,5.237612515,146,,,,
0.001,1024,0,1000,4,0.143548033,0.454033854,0.573092987,0.703407342,4.175041344,5.145387124,147,,,,
0.001,1024,0,1000,5,0.159991207,0.463926138,0.578808529,0.716245329,4.046860902,4.971607996,147,,,,
0.001,1024,0,1500,1,0.130138492,0.433809628,0.528555727,0.676983953,4.331157788,5.293247898,185,,,,
0.001,1024,0,1500,2,0.123147945,0.434029457,0.539283359,0.679094306,4.355217975,5.238111887,192,,,,
0.001,1024,0,1500,3,0.153660145,0.446867443,0.567113651,0.693471093,4.207308396,5.205438126,196,,,,
0.001,1024,0,1500,4,0.111365135,0.451747637,0.572741262,0.697735766,4.18693018,5.078537207,197,,,,
0.001,1024,0,1500,5,0.138799736,0.456803693,0.578017147,0.704242691,4.133264023,4.990953917,188,,,,
0.001,1024,0.25,500,1,0.122664322,0.412442295,0.535150583,0.672059793,4.411678231,5.314061738,119,,,,
0.001,1024,0.25,500,2,0.118267751,0.427170807,0.542097164,0.674258079,4.384368544,5.246400747,120,,,,
0.001,1024,0.25,500,3,0.125566058,0.429105298,0.542888547,0.678214992,4.381508827,5.246995551,119,,,,
0.001,1024,0.25,500,4,0.131105738,0.429896681,0.546757529,0.681556386,4.344150751,5.232015862,120,,,,
0.001,1024,0.25,500,5,0.144075621,0.448801934,0.568432623,0.696372829,4.232811306,5.167155721,119,,,,
0.001,1024,0.25,1000,1,0.123939327,0.40808969,0.544515278,0.679577929,4.396154051,5.292759102,146,,,,
0.001,1024,0.25,1000,2,0.125610024,0.430336338,0.546801495,0.684458123,4.342608099,5.242723036,149,,,,
0.001,1024,0.25,1000,3,0.14091009,0.425895801,0.553132557,0.684633985,4.222535714,5.212932667,149,,,,
0.001,1024,0.25,1000,4,0.149175643,0.444405364,0.572521433,0.696504726,4.16659295,5.153051634,152,,,,
0.001,1024,0.25,1000,5,0.146361838,0.447131238,0.56702572,0.699186634,4.17251363,5.023908428,155,,,,
0.001,1024,0.25,1500,1,0.126533304,0.412486261,0.538623873,0.673027039,4.362698804,5.286137774,193,,,,
0.001,1024,0.25,1500,2,0.12288415,0.430248406,0.545966146,0.679358101,4.357134239,5.239965396,186,,,,
0.001,1024,0.25,1500,3,0.156429985,0.45284678,0.57696197,0.705253902,4.09013205,5.141794081,185,,,,
0.001,1024,0.25,1500,4,0.161881732,0.461727852,0.588524951,0.720422071,4.015487598,4.940376898,185,,,,
0.001,1024,0.25,1500,5,0.179336118,0.463398549,0.597406023,0.728379864,3.942026055,4.789905998,185,,,,
0.001,1024,0.5,500,1,0.117476368,0.421806991,0.532864366,0.663706309,4.385957676,5.32803881,119,,,,
0.001,1024,0.5,500,2,0.118663443,0.423433722,0.535810068,0.671268411,4.391469209,5.253726006,119,,,,
0.001,1024,0.5,500,3,0.124510882,0.425544076,0.536337657,0.672895142,4.376604681,5.253826463,118,,,,
0.001,1024,0.5,500,4,0.122620356,0.42303803,0.535766102,0.676016707,4.351129905,5.239647597,119,,,,
0.001,1024,0.5,500,5,0.12380743,0.429149264,0.543328204,0.675489118,4.362967781,5.23068472,118,,,,
0.001,1024,0.5,1000,1,0.115366015,0.416399209,0.54060233,0.672455485,4.392478756,5.300459487,145,,,,
0.001,1024,0.5,1000,2,0.126401407,0.432314794,0.546625632,0.682303803,4.389150744,5.251243982,146,,,,
0.001,1024,0.5,1000,3,0.145394592,0.445196747,0.568432623,0.699758189,4.256020733,5.212336578,145,,,,
0.001,1024,0.5,1000,4,0.165003297,0.455660585,0.584216311,0.720246208,4.059937125,4.993225596,146,,,,
0.001,1024,0.5,1000,5,0.169267971,0.460892504,0.597581886,0.727104858,3.914638364,4.798249497,145,,,,
0.001,1024,0.5,1500,1,0.121521213,0.420268191,0.537392834,0.673466696,4.324402705,5.291999892,185,,,,
0.001,1024,0.5,1500,2,0.120861728,0.420136294,0.534710925,0.676016707,4.42835389,5.254567157,185,,,,
0.001,1024,0.5,1500,3,0.123279842,0.422598373,0.535941965,0.677643438,4.365535653,5.248441364,185,,,,
0.001,1024,0.5,1500,4,0.121609145,0.423081996,0.539327325,0.680017586,4.38165675,5.249375509,185,,,,
0.001,1024,0.5,1500,5,0.099010772,0.395955155,0.519059134,0.629984612,4.425764146,5.234631474,185,,,,
0.001,2048,0,500,1,0.12565399,0.42642339,0.544867004,0.681732249,4.377427697,5.351895767,119,,,,
0.001,2048,0,500,2,0.121872939,0.42642339,0.541877336,0.682040009,4.365908146,5.25074838,118,,,,
0.001,2048,0,500,3,0.121872939,0.42642339,0.541569576,0.679094306,4.390212735,5.238082737,118,,,,
0.001,2048,0,500,4,0.141569576,0.427390635,0.54930754,0.685337437,4.259467324,5.222495768,119,,,,
0.001,2048,0,500,5,0.161222247,0.455132996,0.574367993,0.709034953,4.1169101,5.152028624,118,,,,
0.001,2048,0,1000,1,0.124466916,0.430336338,0.541789404,0.682215872,4.422567606,5.318284374,145,,,,
0.001,2048,0,1000,2,0.124466916,0.430336338,0.533216091,0.687667619,4.382378976,5.242430125,145,,,,
0.001,2048,0,1000,3,0.126928995,0.416047483,0.545086832,0.680677072,4.342604717,5.230073749,145,,,,
0.001,2048,0,1000,4,0.177313695,0.446427786,0.576786107,0.703099582,4.183765451,5.178243044,147,,,,
0.001,2048,0,1000,5,0.18074302,0.456891625,0.575203341,0.705913388,4.088092208,5.027968364,148,,,,
0.001,2048,0,1500,1,0.121653111,0.433809628,0.538272148,0.681380523,4.401111484,5.321803909,188,,,,
0.001,2048,0,1500,2,0.125126401,0.433809628,0.547021323,0.682347769,4.365005453,5.255973551,183,,,,
0.001,2048,0,1500,3,0.125126401,0.433809628,0.543548033,0.681380523,4.39447403,5.249983915,184,,,,
0.001,2048,0,1500,4,0.125126401,0.433809628,0.547900638,0.679402066,4.329262416,5.250951269,185,,,,
0.001,2048,0,1500,5,0.125126401,0.433809628,0.546010112,0.678434821,4.353076895,5.241240035,184,,,,
0.001,2048,0.25,500,1,0.124950539,0.424620796,0.537480765,0.668058914,4.383581996,5.371912797,118,,,,
0.001,2048,0.25,500,2,0.123763464,0.42734667,0.539810947,0.675137393,4.358629823,5.25181481,117,,,,
0.001,2048,0.25,500,3,0.122664322,0.428621675,0.54244889,0.678083095,4.388911764,5.252634578,117,,,,
0.001,2048,0.25,500,4,0.124159156,0.428138052,0.542888547,0.678742581,4.34996899,5.244675202,118,,,,
0.001,2048,0.25,500,5,0.123895362,0.429984612,0.537788525,0.681380523,4.353320559,5.23911313,117,,,,
0.001,2048,0.25,1000,1,0.123675533,0.420048362,0.538667839,0.671048582,4.382019083,5.327836736,145,,,,
0.001,2048,0.25,1000,2,0.120641899,0.42765443,0.545526489,0.679050341,4.361569842,5.249923452,144,,,,
0.001,2048,0.25,1000,3,0.120246208,0.427214772,0.547504946,0.68212794,4.34704864,5.250524987,145,,,,
0.001,2048,0.25,1000,4,0.123455705,0.428445812,0.545174764,0.681732249,4.387326558,5.242774667,145,,,,
0.001,2048,0.25,1000,5,0.121785008,0.427962189,0.542273027,0.68274346,4.328917821,5.241888491,145,,,,
0.001,2048,0.25,1500,1,0.125785887,0.421455265,0.541701473,0.673334799,4.379004359,5.302357811,184,,,,
0.001,2048,0.25,1500,2,0.125522093,0.431039789,0.533523851,0.67619257,4.362287005,5.248240704,183,,,,
0.001,2048,0.25,1500,3,0.126225544,0.429413058,0.541349747,0.679314135,4.344278336,5.235266982,188,,,,
0.001,2048,0.25,1500,4,0.108287536,0.437898439,0.556210156,0.685337437,4.432217002,5.215764491,194,,,,
0.001,2048,0.25,1500,5,0.153440317,0.438118268,0.566586063,0.696988349,4.20199434,5.15195411,194,,,,
0.001,2048,0.5,500,1,0.112728072,0.410727632,0.523851396,0.657199384,4.455827117,5.371983698,121,,,,
0.001,2048,0.5,500,2,0.121433282,0.421894922,0.529171246,0.670696856,4.379618684,5.256154007,117,,,,
0.001,2048,0.5,500,3,0.129566938,0.419872499,0.538404045,0.672939107,4.370950301,5.243832143,118,,,,
0.001,2048,0.5,500,4,0.137085074,0.431655309,0.547548912,0.68212794,4.243932048,5.219082059,118,,,,
0.001,2048,0.5,500,5,0.152517037,0.445460541,0.565530886,0.701516817,4.155572931,5.136330032,119,,,,
0.001,2048,0.5,1000,1,0.123103979,0.421323368,0.540030776,0.672147725,4.405166825,5.330794981,149,,,,
0.001,2048,0.5,1000,2,0.122092768,0.430072543,0.538228182,0.67588481,4.364073277,5.254223781,149,,,,
0.001,2048,0.5,1000,3,0.120993625,0.430380303,0.549351506,0.676412398,4.417237282,5.237129031,149,,,,
0.001,2048,0.5,1000,4,0.151945483,0.450560563,0.570850736,0.700417674,4.196524739,5.178979895,149,,,,
0.001,2048,0.5,1000,5,0.156429985,0.452407122,0.577181798,0.708463399,4.209305286,5.106337388,152,,,,
0.001,2048,0.5,1500,1,0.122400528,0.43081996,0.540338536,0.677863267,4.391818762,5.331349776,187,,,,
0.001,2048,0.5,1500,2,0.122048802,0.431303583,0.547636843,0.679621895,4.343933821,5.248475827,193,,,,
0.001,2048,0.5,1500,3,0.129127281,0.435304463,0.549131677,0.682259837,4.331911763,5.242868561,193,,,,
0.001,2048,0.5,1500,4,0.128951418,0.436491537,0.550714443,0.683446911,4.371758779,5.243330818,192,,,,
0.001,2048,0.5,1500,5,0.127984172,0.436535502,0.549791163,0.686172785,4.424363216,5.232217121,185,,,,
